id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score
486,0,child,mother,,,Ethiopia,nationality,291,24,3.41,12.12,0.533,11.18
486,1,child,mother,,,Ethiopia,nationality,278,22,3.53,12.64,0.507,11.62
486,2,child,mother,,,Ethiopia,nationality,352,26,3.35,13.54,0.423,11.8
487,0,daughter,father,,,Kenya,nationality,261,21,3.46,12.43,0.517,11.41
487,1,daughter,father,,,Kenya,nationality,301,21,3.41,14.33,0.502,12.28
487,2,daughter,father,,,Kenya,nationality,294,21,3.59,14.0,0.524,12.38
488,0,son,father,,,Kenya,nationality,320,25,3.57,12.8,0.516,11.76
488,1,son,father,,,Kenya,nationality,272,23,3.5,11.83,0.518,11.17
488,2,son,father,,,Kenya,nationality,287,23,3.49,12.48,0.505,11.47
489,0,child,father,,,Kenya,nationality,281,27,3.55,10.41,0.495,10.53
489,1,child,father,,,Kenya,nationality,324,25,3.46,12.96,0.5,11.67
489,2,child,father,,,Kenya,nationality,263,24,3.53,10.96,0.536,10.78
490,0,daughter,mother,,,Kenya,nationality,283,22,3.41,12.86,0.495,11.55
490,1,daughter,mother,,,Kenya,nationality,296,23,3.59,12.87,0.507,11.83
490,2,daughter,mother,,,Kenya,nationality,295,23,3.55,12.83,0.525,11.73
491,0,son,mother,,,Kenya,nationality,287,23,3.41,12.48,0.474,11.36
491,1,son,mother,,,Kenya,nationality,279,26,3.53,10.73,0.538,10.67
491,2,son,mother,,,Kenya,nationality,279,25,3.52,11.16,0.516,10.86
492,0,child,mother,,,Kenya,nationality,294,26,3.48,11.31,0.503,10.87
492,1,child,mother,,,Kenya,nationality,365,31,3.52,11.77,0.504,11.16
492,2,child,mother,,,Kenya,nationality,295,26,3.54,11.35,0.492,10.98
493,0,daughter,father,,,South Africa,nationality,317,24,3.32,13.21,0.511,11.58
493,1,daughter,father,,,South Africa,nationality,308,30,3.45,10.27,0.532,10.32
493,2,daughter,father,,,South Africa,nationality,318,27,3.51,11.78,0.519,11.15
494,0,son,father,,,South Africa,nationality,310,25,3.52,12.4,0.506,11.48
494,1,son,father,,,South Africa,nationality,289,21,3.47,13.76,0.498,12.09
494,2,son,father,,,South Africa,nationality,302,26,3.55,11.62,0.553,11.14
495,0,child,father,,,South Africa,nationality,277,24,3.5,11.54,0.527,11.02
495,1,child,father,,,South Africa,nationality,286,22,3.61,13.0,0.49,11.91
495,2,child,father,,,South Africa,nationality,286,22,3.52,13.0,0.538,11.78
496,0,daughter,mother,,,South Africa,nationality,324,24,3.48,13.5,0.54,11.97
496,1,daughter,mother,,,South Africa,nationality,289,23,3.4,12.57,0.45,11.39
496,2,daughter,mother,,,South Africa,nationality,290,21,3.55,13.81,0.497,12.23
497,0,son,mother,,,South Africa,nationality,282,21,3.53,13.43,0.532,12.01
497,1,son,mother,,,South Africa,nationality,315,26,3.38,12.12,0.486,11.13
497,2,son,mother,,,South Africa,nationality,298,23,3.53,12.96,0.493,11.77
498,0,child,mother,,,South Africa,nationality,306,26,3.64,11.77,0.539,11.35
498,1,child,mother,,,South Africa,nationality,292,25,3.49,11.68,0.517,11.07
498,2,child,mother,,,South Africa,nationality,309,27,3.46,11.44,0.498,10.91
499,0,daughter,father,,,Philippines,nationality,288,24,3.72,12.0,0.556,11.58
499,1,daughter,father,,,Philippines,nationality,283,20,3.33,14.15,0.495,12.06
499,2,daughter,father,,,Philippines,nationality,287,21,3.49,13.67,0.509,12.07
500,0,son,father,,,Philippines,nationality,288,20,3.48,14.4,0.462,12.41
500,1,son,father,,,Philippines,nationality,284,23,3.41,12.35,0.518,11.29
500,2,son,father,,,Philippines,nationality,267,24,3.55,11.12,0.528,10.89
501,0,child,father,,,Philippines,nationality,279,21,3.49,13.29,0.498,11.88
501,1,child,father,,,Philippines,nationality,322,25,3.54,12.88,0.491,11.75
501,2,child,father,,,Philippines,nationality,286,25,3.61,11.44,0.524,11.13
502,0,daughter,mother,,,Philippines,nationality,286,21,3.55,13.62,0.524,12.13
502,1,daughter,mother,,,Philippines,nationality,293,25,3.49,11.72,0.481,11.1
502,2,daughter,mother,,,Philippines,nationality,355,29,3.51,12.24,0.521,11.39
503,0,son,mother,,,Philippines,nationality,294,25,3.47,11.76,0.5,11.08
503,1,son,mother,,,Philippines,nationality,278,25,3.46,11.12,0.54,10.76
503,2,son,mother,,,Philippines,nationality,283,24,3.57,11.79,0.523,11.24
504,0,child,mother,,,Philippines,nationality,292,23,3.42,12.7,0.497,11.48
504,1,child,mother,,,Philippines,nationality,279,24,3.52,11.62,0.559,11.09
504,2,child,mother,,,Philippines,nationality,276,27,3.49,10.22,0.507,10.34
505,0,daughter,father,,,Myanmar,nationality,286,20,3.37,14.3,0.497,12.21
505,1,daughter,father,,,Myanmar,nationality,295,21,3.41,14.05,0.502,12.14
505,2,daughter,father,,,Myanmar,nationality,288,21,3.63,13.71,0.528,12.3
506,0,son,father,,,Myanmar,nationality,291,27,3.51,10.78,0.495,10.66
506,1,son,father,,,Myanmar,nationality,256,24,3.61,10.67,0.52,10.75
506,2,son,father,,,Myanmar,nationality,315,27,3.61,11.67,0.505,11.24
