factor,factor_value,rank,word,pearson_correlation,word_count
ethnicity,Bhojpuri,19,circles,0.1088684770853294,27
ethnicity,Bhojpuri,20,came,0.10368698451712476,137
ethnicity,Bihari,1,bihar,1.0000000274470462,18
ethnicity,Bihari,2,everyone’s,0.20085883659477258,5
ethnicity,Bihari,3,fields,0.18656364621312133,273
ethnicity,Bihari,4,puddle,0.18104006106022183,6
ethnicity,Bihari,5,healthy,0.16546142959178195,7
ethnicity,Bihari,6,working,0.16546142959178195,7
ethnicity,Bihari,7,net,0.15276196370052048,8
ethnicity,Bihari,8,checked,0.15276196370052048,8
ethnicity,Bihari,9,lift,0.15276195284244473,8
ethnicity,Bihari,10,banyan,0.14134060962476824,31
ethnicity,Bihari,11,farmer,0.13302601371131556,10
ethnicity,Bihari,12,caring,0.12663527805824193,22
ethnicity,Bihari,13,stretched,0.12267586782382346,23
ethnicity,Bihari,14,watch,0.12157314303020231,95
ethnicity,Bihari,15,wonders,0.12135104626839732,38
ethnicity,Bihari,16,nervous,0.11813249298867487,12
ethnicity,Bihari,17,long,0.11730173928759147,77
ethnicity,Bihari,18,lay,0.11449560372290563,125
ethnicity,Bihari,19,perched,0.11190799508563619,13
ethnicity,Bihari,20,silver,0.11101327554024513,61
ethnicity,Bodo,1,sight,0.25612522662837484,7
ethnicity,Bodo,2,diamonds,0.209781482540064,47
ethnicity,Bodo,3,float,0.18104004622231865,6
ethnicity,Bodo,4,magnificent,0.16546142959178195,7
ethnicity,Bodo,5,sunlight,0.1335389385250837,180
ethnicity,Bodo,6,sparkle,0.13302601371131556,10
ethnicity,Bodo,7,pointing,0.13302601371131556,10
ethnicity,Bodo,8,starry,0.12511152551964924,11
ethnicity,Bodo,9,taller,0.12511152551964924,11
ethnicity,Bodo,10,songs,0.12362672353258289,140
ethnicity,Bodo,11,covered,0.12267586782382346,23
ethnicity,Bodo,12,clouds,0.11420571670222669,41
ethnicity,Bodo,13,feet,0.1119079950856362,13
ethnicity,Bodo,14,turns,0.10630294570073648,14
ethnicity,Bodo,15,bravery,0.10630294570073648,14
ethnicity,Bodo,16,flowing,0.10630294570073648,14
ethnicity,Bodo,17,stream,0.10210584574526549,113
ethnicity,Bodo,18,flying,0.10038374008893239,68
ethnicity,Bodo,19,name,0.0998574536508634,48
ethnicity,Bodo,20,path,0.09826609881971642,117
ethnicity,Chhattisgarhi,1,venture,0.25711189650476296,12
ethnicity,Chhattisgarhi,2,farther,0.2376297213119207,8
ethnicity,Chhattisgarhi,3,tiku,0.20085883659477252,5
ethnicity,Chhattisgarhi,4,right,0.18130416466232896,32
ethnicity,Chhattisgarhi,5,snow,0.18104004622231862,6
ethnicity,Chhattisgarhi,6,“i’m,0.16546142959178198,7
ethnicity,Chhattisgarhi,7,itself,0.16546142959178192,7
ethnicity,Chhattisgarhi,8,rainbows,0.15276196370052048,8
ethnicity,Chhattisgarhi,9,choti,0.1527619528424447,8
ethnicity,Chhattisgarhi,10,tara,0.14212484939299974,9
ethnicity,Chhattisgarhi,11,holding,0.13334763911447242,49
ethnicity,Chhattisgarhi,12,adventurous,0.13302602218027518,10
ethnicity,Chhattisgarhi,13,rani,0.12663527805824193,22
ethnicity,Chhattisgarhi,14,cheered,0.12454412426580914,72
ethnicity,Chhattisgarhi,15,tortoise,0.12267586782382348,23
ethnicity,Chhattisgarhi,16,kept,0.11894021104604598,24
ethnicity,Chhattisgarhi,17,fall,0.11813249298867487,12
ethnicity,Chhattisgarhi,18,fur,0.11191076907125162,81
ethnicity,Chhattisgarhi,19,“where,0.11190799508563619,13
ethnicity,Chhattisgarhi,20,surrounded,0.11189303651412226,211
