target,n_samples,n_classes,majority_baseline,lr_accuracy,lr_std,mlp_accuracy,mlp_std,n_splits
child_gender,1566,3,0.3333333333333333,0.644950245212755,0.020328317551291282,0.5498158360635722,0.016813511648466572,5
parent_role,1566,2,0.5,0.5536639466026332,0.024630743748440546,0.5293563419547833,0.017192756442100762,5
religion,180,10,0.1,0.1611111111111111,0.08314794192830982,0.17777777777777776,0.05152010275275391,5
ethnicity,720,40,0.025,0.036111111111111115,0.01272937693043289,0.04583333333333333,0.022222222222222223,5
nationality,648,36,0.027777777777777776,0.03700655933214073,0.010127927335354055,0.03395348837209302,0.014302501786145195,5
