id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score,flesch_reading_ease,flesch_kincaid_grade
457,0,daughter,father,,,Canada,nationality,334,27,4.28,12.37,0.557,12.6,82.49,4.81
457,1,daughter,father,,,Canada,nationality,320,29,4.41,11.03,0.594,12.13,78.23,5.26
457,2,daughter,father,,,Canada,nationality,360,28,4.44,12.86,0.606,13.09,80.34,5.21
458,0,son,father,,,Canada,nationality,353,33,4.25,10.7,0.584,11.72,81.33,4.53
458,1,son,father,,,Canada,nationality,328,27,4.45,12.15,0.595,12.75,76.55,5.7
458,2,son,father,,,Canada,nationality,305,33,4.47,9.24,0.597,11.33,78.55,4.82
459,0,child,father,,,Canada,nationality,339,26,4.45,13.04,0.572,13.19,76.81,5.79
459,1,child,father,,,Canada,nationality,349,33,4.3,10.58,0.547,11.73,78.45,5.1
459,2,child,father,,,Canada,nationality,315,31,4.24,10.16,0.565,11.44,82.02,4.6
460,0,daughter,mother,,,Canada,nationality,313,30,4.28,10.43,0.62,11.64,78.17,5.06
460,1,daughter,mother,,,Canada,nationality,346,27,4.14,12.81,0.566,12.62,82.45,5.04
460,2,daughter,mother,,,Canada,nationality,341,30,4.46,11.37,0.589,12.37,78.35,5.46
461,0,son,mother,,,Canada,nationality,319,32,4.19,9.97,0.574,11.27,82.84,4.38
461,1,son,mother,,,Canada,nationality,335,30,4.16,11.17,0.582,11.82,83.74,4.53
461,2,son,mother,,,Canada,nationality,339,25,4.42,13.56,0.59,13.4,71.33,6.65
462,0,child,mother,,,Canada,nationality,322,30,4.2,10.73,0.559,11.66,84.02,4.21
462,1,child,mother,,,Canada,nationality,323,29,4.26,11.14,0.601,11.96,81.44,4.81
462,2,child,mother,,,Canada,nationality,344,33,4.48,10.42,0.561,11.93,76.93,5.47
463,0,daughter,father,,,Italy,nationality,336,27,4.28,12.44,0.539,12.65,79.03,5.31
463,1,daughter,father,,,Italy,nationality,314,26,4.42,12.08,0.57,12.67,74.88,5.81
463,2,daughter,father,,,Italy,nationality,317,27,4.38,11.74,0.593,12.44,82.46,4.66
464,0,son,father,,,Italy,nationality,332,27,4.07,12.3,0.521,12.26,87.33,4.13
464,1,son,father,,,Italy,nationality,310,26,4.47,11.92,0.6,12.67,76.39,5.77
464,2,son,father,,,Italy,nationality,301,28,4.2,10.75,0.571,11.67,83.97,4.4
465,0,child,father,,,Italy,nationality,307,28,4.21,10.96,0.599,11.8,81.98,4.64
465,1,child,father,,,Italy,nationality,315,26,4.34,12.12,0.6,12.57,74.81,5.81
465,2,child,father,,,Italy,nationality,321,28,4.08,11.46,0.573,11.86,86.68,4.11
466,0,daughter,mother,,,Italy,nationality,331,22,4.35,15.05,0.517,14.05,76.46,6.31
466,1,daughter,mother,,,Italy,nationality,315,26,4.25,12.12,0.575,12.43,75.75,5.66
466,2,daughter,mother,,,Italy,nationality,314,28,4.42,11.21,0.596,12.23,76.95,5.41
467,0,son,mother,,,Italy,nationality,372,39,4.37,9.54,0.57,11.32,78.41,4.96
467,1,son,mother,,,Italy,nationality,353,35,4.29,10.09,0.586,11.48,82.2,4.39
467,2,son,mother,,,Italy,nationality,332,26,4.24,12.77,0.557,12.75,79.72,5.31
468,0,child,mother,,,Italy,nationality,367,40,4.34,9.18,0.578,11.09,80.4,4.46
468,1,child,mother,,,Italy,nationality,337,30,4.21,11.23,0.54,11.93,79.78,4.9
468,2,child,mother,,,Italy,nationality,358,34,4.0,10.53,0.522,11.26,89.32,3.62
469,0,daughter,father,,,Spain,nationality,330,24,4.36,13.75,0.585,13.42,78.49,5.72
469,1,daughter,father,,,Spain,nationality,312,25,4.44,12.48,0.577,12.9,76.42,5.69
469,2,daughter,father,,,Spain,nationality,327,26,4.36,12.58,0.55,12.83,78.68,5.41
470,0,son,father,,,Spain,nationality,348,33,4.22,10.55,0.552,11.6,81.62,4.55
470,1,son,father,,,Spain,nationality,332,26,4.52,12.77,0.569,13.16,75.58,5.88
470,2,son,father,,,Spain,nationality,312,33,4.31,9.45,0.558,11.19,88.36,3.52
471,0,child,father,,,Spain,nationality,336,26,4.15,12.92,0.533,12.69,82.25,5.09
471,1,child,father,,,Spain,nationality,312,25,4.25,12.48,0.545,12.62,79.69,5.24
471,2,child,father,,,Spain,nationality,323,27,4.36,11.96,0.56,12.52,78.1,5.39
472,0,daughter,mother,,,Spain,nationality,353,29,4.47,12.17,0.567,12.8,76.13,5.77
472,1,daughter,mother,,,Spain,nationality,344,26,4.26,13.23,0.555,13.0,80.19,5.48
472,2,daughter,mother,,,Spain,nationality,338,27,4.41,12.52,0.544,12.87,75.68,5.8
473,0,son,mother,,,Spain,nationality,369,30,4.36,12.3,0.542,12.69,80.77,5.03
473,1,son,mother,,,Spain,nationality,364,31,4.26,11.74,0.544,12.26,78.89,5.17
473,2,son,mother,,,Spain,nationality,323,28,4.17,11.54,0.563,12.02,86.39,4.07
474,0,child,mother,,,Spain,nationality,332,32,4.39,10.38,0.566,11.77,79.51,4.83
