target,n_samples,n_classes,majority_baseline,lr_accuracy,lr_std,mlp_accuracy,mlp_std,n_splits
child_gender,1566,3,0.3333333333333333,0.6730510164628314,0.02155279663186942,0.605358051321707,0.01955535791781664,5
parent_role,1566,2,0.5,0.5510836165320201,0.011057642729994982,0.5236258928389735,0.01379140722526316,5
religion,180,10,0.1,0.6944444444444444,0.07243558228002946,0.6722222222222223,0.0831479419283098,5
ethnicity,720,40,0.025,0.14583333333333331,0.009820927516479823,0.1875,0.02707442873558046,5
nationality,648,36,0.027777777777777776,0.512355396541443,0.026180900995735425,0.591067382230173,0.04080652821210232,5
